"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 26: 43,111.77,8361,DAY,10.68
2026-01-10 06: 26: 43,111.77,0,DAY,5.37
2026-01-10 06: 26: 43,111.55,12607,DAY,5.27
2026-01-10 06: 26: 43,111.33,8041,DAY,6.26
2026-01-10 06: 26: 43,111.57,6938,DAY,7.49
2026-01-10 06: 26: 43,111.75,8147,DAY,7.9
2026-01-10 06: 26: 44,111.56,7386,DAY,8.36
2026-01-10 06: 26: 44,111.68,5652,DAY,5.49
2026-01-10 06: 26: 44,111.59,7787,DAY,9.29
2026-01-10 06: 26: 44,111.47,7129,DAY,5.58
2026-01-10 06: 26: 44,111.68,5465,DAY,5.43
2026-01-10 06: 26: 44,112.59,11647,DAY,6.64
2026-01-10 06: 26: 45,113.17,6871,DAY,6.61
2026-01-10 06: 26: 45,113.01,4115,DAY,2.14
2026-01-10 06: 26: 46,113.14,3886,DAY,1.15
2026-01-10 06: 26: 46,113.44,4885,DAY,3.6
2026-01-10 06: 26: 46,112.67,5582,DAY,4.11
2026-01-10 06: 26: 47,111.91,4915,DAY,5.43
2026-01-10 06: 26: 47,111.16,4249,DAY,9.38
2026-01-10 06: 26: 47,110.6,5838,DAY,5.15
2026-01-10 06: 26: 47,110.12,3511,DAY,4.34
2026-01-10 06: 26: 47,109.93,1842,DAY,4.89
2026-01-10 06: 26: 48,109.69,3221,DAY,4.51
2026-01-10 06: 26: 48,109.85,4809,DAY,8.72
2026-01-10 06: 26: 48,110.33,4381,DAY,6.11
2026-01-10 06: 26: 48,110.69,5114,DAY,5.15
2026-01-10 06: 26: 48,111.16,4728,DAY,6.24
2026-01-10 06: 26: 50,111.36,3339,DAY,0.65
2026-01-10 06: 26: 50,111.49,4698,DAY,5.01
2026-01-10 06: 26: 50,111.41,1254,DAY,7.28
2026-01-10 06: 26: 50,111.23,725,DAY,4.75
2026-01-10 06: 26: 50,111.14,2396,DAY,5.67
2026-01-10 06: 26: 51,110.18,5583,DAY,5.76
2026-01-10 06: 26: 51,109.94,5928,DAY,6.52
2026-01-10 06: 26: 51,109.93,8014,DAY,5.48
2026-01-10 06: 26: 51,110.24,5039,DAY,5.34
2026-01-10 06: 26: 51,110.66,8863,DAY,7.6
2026-01-10 06: 26: 51,110.84,2792,DAY,4.89
2026-01-10 06: 26: 52,110.99,6228,DAY,5.67
2026-01-10 06: 26: 52,110.89,771,DAY,5.36
2026-01-10 06: 26: 52,110.85,3335,DAY,6.37
2026-01-10 06: 26: 52,110.87,3989,DAY,5.84
2026-01-10 06: 26: 52,110.94,418,DAY,6.19
2026-01-10 06: 26: 52,111.02,3170,DAY,9.12
2026-01-10 06: 26: 53,111.05,402,DAY,5.77
2026-01-10 06: 26: 53,111.16,622,DAY,5.3
2026-01-10 06: 26: 53,111.23,3329,DAY,7.43
2026-01-10 06: 26: 53,111.28,86,DAY,4.85
2026-01-10 06: 26: 53,111.34,1211,DAY,5.17
2026-01-10 06: 26: 53,110.14,6439,DAY,5.34
2026-01-10 06: 26: 54,110.21,5956,DAY,9.04
2026-01-10 06: 26: 54,109.03,3899,DAY,4.97
2026-01-10 06: 26: 54,102.98,13141,DAY,4.92
2026-01-10 06: 26: 54,100.25,36325,DAY,4.56
2026-01-10 06: 26: 54,100.0,24507,DAY,7.74
2026-01-10 06: 26: 55,101.62,16649,DAY,5.19
2026-01-10 06: 26: 55,104.32,15746,DAY,5.67
2026-01-10 06: 26: 55,107.59,25282,DAY,8.72
2026-01-10 06: 26: 55,107.59,0,DAY,4.96
2026-01-10 06: 26: 55,109.49,22285,DAY,6.7
2026-01-10 06: 26: 55,110.77,10634,DAY,8.88
2026-01-10 06: 26: 55,109.92,3412,DAY,6.73
2026-01-10 06: 26: 56,106.66,6366,DAY,7.62
2026-01-10 06: 26: 56,107.18,7835,DAY,5.28
2026-01-10 06: 26: 56,108.0,3381,DAY,5.53
2026-01-10 06: 26: 56,108.56,2272,DAY,4.33
2026-01-10 06: 26: 56,109.06,1915,DAY,6.23
2026-01-10 06: 26: 56,109.15,2278,DAY,7.91
2026-01-10 06: 26: 57,109.09,1753,DAY,6.61
2026-01-10 06: 26: 57,109.15,1104,DAY,6.77
2026-01-10 06: 26: 57,109.09,541,DAY,5.75
2026-01-10 06: 26: 57,109.14,858,DAY,6.24
2026-01-10 06: 26: 57,108.76,3660,DAY,8.16
2026-01-10 06: 26: 57,108.47,5845,DAY,6.02
2026-01-10 06: 26: 58,108.92,5680,DAY,5.31
2026-01-10 06: 26: 58,108.98,2617,DAY,9.21
2026-01-10 06: 26: 58,109.09,1593,DAY,4.75
2026-01-10 06: 26: 58,109.12,1021,DAY,5.28
2026-01-10 06: 26: 58,109.21,461,DAY,9.72
2026-01-10 06: 26: 58,109.44,488,DAY,5.51
2026-01-10 06: 26: 59,109.7,696,DAY,7.39
2026-01-10 06: 26: 59,109.91,620,DAY,6.91
2026-01-10 06: 26: 59,109.94,230,DAY,5.55
2026-01-10 06: 26: 59,109.79,1678,DAY,5.53
2026-01-10 06: 26: 59,109.79,1667,DAY,10.35
2026-01-10 06: 26: 59,109.81,757,DAY,5.04
2026-01-10 06: 26: 59,109.75,1244,DAY,5.56
2026-01-10 06: 27: 00,109.65,326,DAY,3.96
2026-01-10 06: 27: 00,109.42,2398,DAY,4.58
2026-01-10 06: 27: 00,109.38,1578,DAY,8.29
2026-01-10 06: 27: 00,109.44,1542,DAY,4.48
2026-01-10 06: 27: 00,109.54,1704,DAY,8.35
2026-01-10 06: 27: 01,109.6,302,DAY,7.8
2026-01-10 06: 27: 01,109.65,355,DAY,4.94
2026-01-10 06: 27: 01,109.75,1423,DAY,8.22
2026-01-10 06: 27: 01,109.85,986,DAY,4.07
2026-01-10 06: 27: 01,110.05,3524,DAY,6.09
2026-01-10 06: 27: 01,110.17,857,DAY,4.87
2026-01-10 06: 27: 02,110.29,1198,DAY,5.84
2026-01-10 06: 27: 02,110.38,138,DAY,8.57
2026-01-10 06: 27: 02,110.45,90,DAY,6.82
2026-01-10 06: 27: 02,110.62,203,DAY,4.31
2026-01-10 06: 27: 02,110.92,1295,DAY,5.34
2026-01-10 06: 27: 02,111.08,818,DAY,7.48
2026-01-10 06: 27: 03,111.19,553,DAY,6.05
2026-01-10 06: 27: 03,111.26,929,DAY,9.12
2026-01-10 06: 27: 03,111.27,2119,DAY,5.4
2026-01-10 06: 27: 03,111.43,2738,DAY,6.07
2026-01-10 06: 27: 03,111.57,3900,DAY,7.56
2026-01-10 06: 27: 03,111.73,3685,DAY,5.28
2026-01-10 06: 27: 04,111.52,2839,DAY,5.64
2026-01-10 06: 27: 04,111.25,3288,DAY,5.15
2026-01-10 06: 27: 04,110.91,4552,DAY,8.09
2026-01-10 06: 27: 04,110.18,6120,DAY,4.48
2026-01-10 06: 27: 04,108.76,8223,DAY,5.4
2026-01-10 06: 27: 05,108.06,4294,DAY,4.64
2026-01-10 06: 27: 05,107.82,4689,DAY,8.39
2026-01-10 06: 27: 05,109.03,11372,DAY,5.63
2026-01-10 06: 27: 05,109.03,0,DAY,5.56
2026-01-10 06: 27: 05,111.01,5954,DAY,7.84
2026-01-10 06: 27: 05,111.52,835,DAY,5.55
2026-01-10 06: 27: 06,111.74,389,DAY,5.43
2026-01-10 06: 27: 06,111.8,10,DAY,6.2
2026-01-10 06: 27: 06,111.84,0,DAY,6.69
2026-01-10 06: 27: 06,111.9,0,DAY,5.46
2026-01-10 06: 27: 06,111.95,0,DAY,7.37
2026-01-10 06: 27: 06,111.96,0,DAY,6.05
2026-01-10 06: 27: 06,112.0,0,DAY,5.37
2026-01-10 06: 27: 07,112.19,61,DAY,5.46
2026-01-10 06: 27: 07,112.4,50,DAY,7.6
2026-01-10 06: 27: 07,112.49,32,DAY,5.83
2026-01-10 06: 27: 07,112.53,17,DAY,5.83
2026-01-10 06: 27: 07,112.83,531,DAY,9.12
2026-01-10 06: 27: 07,112.81,3,DAY,4.49
2026-01-10 06: 27: 08,112.55,526,DAY,7.78
2026-01-10 06: 27: 08,112.34,486,DAY,6.41
2026-01-10 06: 27: 08,112.04,571,DAY,3.95
2026-01-10 06: 27: 08,110.04,6468,DAY,5.84
2026-01-10 06: 27: 08,108.04,7024,DAY,5.66
2026-01-10 06: 27: 08,105.48,14018,DAY,7.8
2026-01-10 06: 27: 09,104.38,10413,DAY,4.71
2026-01-10 06: 27: 09,103.49,10881,DAY,4.87
2026-01-10 06: 27: 09,103.22,1654,DAY,5.44
2026-01-10 06: 27: 09,103.18,4108,DAY,7.34
2026-01-10 06: 27: 09,103.63,6639,DAY,5.27
2026-01-10 06: 27: 10,104.64,8454,DAY,6.45
2026-01-10 06: 27: 10,106.49,10170,DAY,5.53
2026-01-10 06: 27: 10,109.23,9977,DAY,6.7
2026-01-10 06: 27: 10,109.94,1687,DAY,6.11
2026-01-10 06: 27: 10,110.46,1660,DAY,5.04
2026-01-10 06: 27: 10,110.56,109,DAY,8.68
2026-01-10 06: 27: 11,110.4,1759,DAY,3.31
2026-01-10 06: 27: 11,110.02,3653,DAY,6.84
2026-01-10 06: 27: 11,108.1,6160,DAY,3.85
2026-01-10 06: 27: 11,96.55,29918,DAY,4.61
2026-01-10 06: 27: 11,87.51,40646,DAY,5.5
2026-01-10 06: 27: 12,85.6,49702,DAY,4.59
2026-01-10 06: 27: 12,91.96,77429,DAY,4.89
2026-01-10 06: 27: 12,91.73,79532,DAY,5.53
2026-01-10 06: 27: 12,86.86,60846,DAY,5.07
2026-01-10 06: 27: 13,101.89,35442,DAY,4.72
2026-01-10 06: 27: 13,124.12,34740,DAY,4.73
2026-01-10 06: 27: 13,124.25,0,DAY,6.15
2026-01-10 06: 27: 13,106.68,18167,DAY,8.7
2026-01-10 06: 27: 13,107.96,0,DAY,5.71
2026-01-10 06: 27: 13,108.01,0,DAY,5.9
2026-01-10 06: 27: 13,108.42,0,DAY,7.77
2026-01-10 06: 27: 14,108.46,0,DAY,5.87
2026-01-10 06: 27: 14,108.53,0,DAY,5.5
2026-01-10 06: 27: 14,108.61,0,DAY,7.92
2026-01-10 06: 27: 14,108.66,0,DAY,5.53
2026-01-10 06: 27: 14,108.69,0,DAY,6.24
2026-01-10 06: 27: 14,108.83,0,DAY,7.21
2026-01-10 06: 27: 15,108.89,0,DAY,6.41
2026-01-10 06: 27: 15,108.95,0,DAY,7.27
2026-01-10 06: 27: 15,108.94,0,DAY,5.33
2026-01-10 06: 27: 15,109.0,0,DAY,4.97
2026-01-10 06: 27: 15,109.02,0,DAY,7.21
2026-01-10 06: 27: 15,109.09,0,DAY,7.4
2026-01-10 06: 27: 16,109.09,0,DAY,5.55
2026-01-10 06: 27: 16,109.14,0,DAY,7.71
2026-01-10 06: 27: 16,109.16,0,DAY,7.77
2026-01-10 06: 27: 16,109.16,0,DAY,11.41
2026-01-10 06: 27: 16,109.16,0,DAY,5.58
2026-01-10 06: 27: 16,109.23,0,DAY,5.93
2026-01-10 06: 27: 16,109.26,0,DAY,9.65
2026-01-10 06: 27: 17,109.29,0,DAY,4.99
2026-01-10 06: 27: 17,109.34,0,DAY,6.44
2026-01-10 06: 27: 17,109.37,0,DAY,9.75
2026-01-10 06: 27: 17,109.39,0,DAY,6.02
2026-01-10 06: 27: 18,109.42,0,DAY,0.75
2026-01-10 06: 27: 19,109.66,0,DAY,5.43
2026-01-10 06: 27: 19,109.76,0,DAY,5.48
2026-01-10 06: 27: 19,109.85,0,DAY,7.48
2026-01-10 06: 27: 19,109.87,0,DAY,7.3
2026-01-10 06: 27: 19,109.93,0,DAY,5.64
2026-01-10 06: 27: 19,109.99,0,DAY,5.71
2026-01-10 06: 27: 19,110.05,0,DAY,8.96
2026-01-10 06: 27: 20,110.09,0,DAY,8.29
2026-01-10 06: 27: 20,110.12,0,DAY,7.74
2026-01-10 06: 27: 20,110.15,0,DAY,5.73
2026-01-10 06: 27: 20,110.18,0,DAY,9.84
2026-01-10 06: 27: 20,110.23,0,DAY,6.18
2026-01-10 06: 27: 20,110.26,0,DAY,6.01
2026-01-10 06: 27: 20,110.28,0,DAY,9.21
2026-01-10 06: 27: 21,110.32,0,DAY,7.21
2026-01-10 06: 27: 21,110.35,0,DAY,9.2
2026-01-10 06: 27: 21,110.39,0,DAY,5.12
2026-01-10 06: 27: 21,110.44,0,DAY,10.31
2026-01-10 06: 27: 21,110.47,0,DAY,6.7
2026-01-10 06: 27: 21,110.51,0,DAY,11.36
2026-01-10 06: 27: 21,110.56,0,DAY,5.34
2026-01-10 06: 27: 22,110.58,0,DAY,4.87
2026-01-10 06: 27: 22,110.63,0,DAY,4.57
2026-01-10 06: 27: 22,110.7,0,DAY,4.89
2026-01-10 06: 27: 22,110.76,0,DAY,7.54
2026-01-10 06: 27: 22,110.76,0,DAY,5.8
2026-01-10 06: 27: 22,110.81,0,DAY,8.16
2026-01-10 06: 27: 23,110.88,0,DAY,6.15
2026-01-10 06: 27: 23,110.91,0,DAY,6.32
2026-01-10 06: 27: 23,110.94,0,DAY,4.55
2026-01-10 06: 27: 23,110.98,0,DAY,7.51
2026-01-10 06: 27: 23,111.01,0,DAY,5.66
2026-01-10 06: 27: 23,111.07,0,DAY,6.4
2026-01-10 06: 27: 24,111.12,0,DAY,8.65
2026-01-10 06: 27: 24,111.14,0,DAY,5.74
2026-01-10 06: 27: 24,111.17,0,DAY,9.21
2026-01-10 06: 27: 24,111.19,0,DAY,7.66
2026-01-10 06: 27: 24,111.25,0,DAY,10.68
2026-01-10 06: 27: 24,111.25,0,DAY,7.12
2026-01-10 06: 27: 24,111.27,0,DAY,9.56
2026-01-10 06: 27: 24,111.31,0,DAY,7.6
2026-01-10 06: 27: 25,111.33,0,DAY,9.84
2026-01-10 06: 27: 25,111.37,0,DAY,6.96
2026-01-10 06: 27: 25,111.39,0,DAY,10.79
2026-01-10 06: 27: 25,111.46,0,DAY,5.87
2026-01-10 06: 27: 25,111.45,0,DAY,5.1
2026-01-10 06: 27: 25,111.5,0,DAY,11.04
2026-01-10 06: 27: 25,111.55,0,DAY,5.87
2026-01-10 06: 27: 25,111.57,0,DAY,9.54
2026-01-10 06: 27: 26,111.59,0,DAY,5.8
2026-01-10 06: 27: 26,111.68,0,DAY,6.52
2026-01-10 06: 27: 26,111.7,0,DAY,9.29
2026-01-10 06: 27: 26,111.7,0,DAY,5.58
2026-01-10 06: 27: 26,111.77,0,DAY,7.9
2026-01-10 06: 27: 26,111.8,0,DAY,8.36
2026-01-10 06: 27: 26,111.84,0,DAY,10.46
2026-01-10 06: 27: 27,111.84,0,DAY,5.26
2026-01-10 06: 27: 27,111.89,0,DAY,5.71
2026-01-10 06: 27: 27,111.94,0,DAY,4.19
2026-01-10 06: 27: 27,111.98,0,DAY,8.57
2026-01-10 06: 27: 27,112.01,0,DAY,6.53
2026-01-10 06: 27: 27,112.05,0,DAY,7.32
2026-01-10 06: 27: 28,112.12,0,DAY,8.05
2026-01-10 06: 27: 28,112.12,0,DAY,5.8
2026-01-10 06: 27: 28,112.18,0,DAY,9.12
2026-01-10 06: 27: 28,112.21,0,DAY,5.87
2026-01-10 06: 27: 28,112.25,0,DAY,7.54
2026-01-10 06: 27: 28,112.29,0,DAY,6.7
2026-01-10 06: 27: 28,112.3,0,DAY,7.48
2026-01-10 06: 27: 29,112.37,0,DAY,7.48
2026-01-10 06: 27: 29,112.37,0,DAY,5.87
2026-01-10 06: 27: 29,112.44,0,DAY,5.12
2026-01-10 06: 27: 29,112.47,0,DAY,9.21
2026-01-10 06: 27: 29,112.47,0,DAY,5.65
2026-01-10 06: 27: 29,112.51,0,DAY,4.84
2026-01-10 06: 27: 30,112.59,0,DAY,9.12
2026-01-10 06: 27: 30,112.62,0,DAY,6.1
2026-01-10 06: 27: 30,112.65,0,DAY,7.18
2026-01-10 06: 27: 30,112.67,0,DAY,8.02
2026-01-10 06: 27: 30,112.71,0,DAY,7.01
2026-01-10 06: 27: 30,112.75,0,DAY,8.46
2026-01-10 06: 27: 30,112.79,0,DAY,5.06
2026-01-10 06: 27: 31,112.83,0,DAY,4.93
2026-01-10 06: 27: 31,112.86,0,DAY,4.97
2026-01-10 06: 27: 31,112.93,0,DAY,6.64
2026-01-10 06: 27: 31,112.98,0,DAY,1.93
2026-01-10 06: 27: 32,113.1,0,DAY,5.12
2026-01-10 06: 27: 32,113.13,0,DAY,5.2
2026-01-10 06: 27: 32,113.15,0,DAY,4.21
2026-01-10 06: 27: 32,113.25,0,DAY,5.32
2026-01-10 06: 27: 32,113.28,0,DAY,9.93
2026-01-10 06: 27: 33,113.33,0,DAY,6.13
2026-01-10 06: 27: 33,113.35,0,DAY,9.04
2026-01-10 06: 27: 33,113.38,0,DAY,5.77
2026-01-10 06: 27: 33,113.42,0,DAY,6.03
2026-01-10 06: 27: 33,113.47,0,DAY,7.8
2026-01-10 06: 27: 33,113.48,0,DAY,6.6
2026-01-10 06: 27: 33,113.53,0,DAY,8.72
2026-01-10 06: 27: 34,113.53,0,DAY,6.17
2026-01-10 06: 27: 34,113.61,0,DAY,5.13
2026-01-10 06: 27: 34,113.64,0,DAY,8.57
2026-01-10 06: 27: 34,113.68,0,DAY,6.07
2026-01-10 06: 27: 34,113.7,0,DAY,6.57
2026-01-10 06: 27: 34,113.74,0,DAY,9.04
2026-01-10 06: 27: 34,113.81,0,DAY,7.11
2026-01-10 06: 27: 35,113.81,0,DAY,8.75
2026-01-10 06: 27: 35,113.85,0,DAY,5.5
2026-01-10 06: 27: 35,113.89,0,DAY,10.58
2026-01-10 06: 27: 35,113.9,0,DAY,6.44
2026-01-10 06: 27: 35,113.95,0,DAY,5.92
2026-01-10 06: 27: 35,113.98,0,DAY,4.01
2026-01-10 06: 27: 36,114.07,0,DAY,7.77
2026-01-10 06: 27: 36,114.08,0,DAY,6.36
2026-01-10 06: 27: 36,114.12,0,DAY,8.58
2026-01-10 06: 27: 36,114.14,0,DAY,5.58
2026-01-10 06: 27: 36,114.19,0,DAY,6.59
2026-01-10 06: 27: 36,114.22,0,DAY,8.53
2026-01-10 06: 27: 36,114.25,0,DAY,4.73
2026-01-10 06: 27: 37,114.31,0,DAY,6.51
2026-01-10 06: 27: 37,114.33,0,DAY,11.41
2026-01-10 06: 27: 37,114.36,0,DAY,6.2
2026-01-10 06: 27: 37,114.39,0,DAY,8.36
2026-01-10 06: 27: 37,114.42,0,DAY,6.68
2026-01-10 06: 27: 37,114.48,0,DAY,5.04
2026-01-10 06: 27: 38,114.52,0,DAY,6.27
2026-01-10 06: 27: 38,114.56,0,DAY,5.14
2026-01-10 06: 27: 38,114.59,0,DAY,5.02
2026-01-10 06: 27: 38,114.63,0,DAY,5.17
2026-01-10 06: 27: 38,114.7,0,DAY,4.2
2026-01-10 06: 27: 39,114.76,0,DAY,4.23
2026-01-10 06: 27: 39,114.82,0,DAY,7.59
2026-01-10 06: 27: 39,114.87,0,DAY,2.65
2026-01-10 06: 27: 39,114.95,0,DAY,4.97
2026-01-10 06: 27: 39,114.98,0,DAY,7.57
2026-01-10 06: 27: 40,115.01,0,DAY,5.79
2026-01-10 06: 27: 40,115.09,0,DAY,6.24
2026-01-10 06: 27: 40,115.11,0,DAY,10.14
2026-01-10 06: 27: 40,115.11,0,DAY,6.4
2026-01-10 06: 27: 40,115.19,0,DAY,6.82
2026-01-10 06: 27: 40,115.22,0,DAY,7.71
2026-01-10 06: 27: 40,115.25,0,DAY,12.26
2026-01-10 06: 27: 41,115.25,0,DAY,5.67
2026-01-10 06: 27: 41,115.32,0,DAY,4.65
2026-01-10 06: 27: 41,115.38,0,DAY,4.94
2026-01-10 06: 27: 41,115.4,0,DAY,8.22
2026-01-10 06: 27: 41,115.43,0,DAY,6.4
2026-01-10 06: 27: 41,115.46,0,DAY,8.29
2026-01-10 06: 27: 41,115.5,0,DAY,7.48
2026-01-10 06: 27: 42,115.53,0,DAY,7.45
2026-01-10 06: 27: 42,115.57,0,DAY,6.11
2026-01-10 06: 27: 42,115.64,0,DAY,5.31
2026-01-10 06: 27: 42,115.66,0,DAY,5.67
2026-01-10 06: 27: 42,115.7,0,DAY,10.68
2026-01-10 06: 27: 42,115.73,0,DAY,5.81
2026-01-10 06: 27: 43,115.78,0,DAY,8.03
2026-01-10 06: 27: 43,115.8,0,DAY,8.8
2026-01-10 06: 27: 43,115.83,0,DAY,9.29
2026-01-10 06: 27: 43,115.83,0,DAY,7.44
2026-01-10 06: 27: 44,115.87,0,DAY,0.71
2026-01-10 06: 27: 45,108.26,0,DAY,2.15
2026-01-10 06: 27: 45,108.66,0,DAY,2.48
2026-01-10 06: 27: 46,108.85,0,DAY,2.94
2026-01-10 06: 27: 46,108.87,0,DAY,3.4
2026-01-10 06: 27: 46,108.97,0,DAY,3.78
2026-01-10 06: 27: 46,109.08,0,DAY,3.22
2026-01-10 06: 27: 47,109.12,0,DAY,8.31
2026-01-10 06: 27: 47,109.19,0,DAY,4.5
2026-01-10 06: 27: 47,109.24,0,DAY,3.62
2026-01-10 06: 27: 47,109.34,0,DAY,3.71
2026-01-10 06: 27: 48,109.42,0,DAY,3.51
2026-01-10 06: 27: 48,109.52,0,DAY,4.08
2026-01-10 06: 27: 48,109.58,0,DAY,3.74
2026-01-10 06: 27: 48,109.64,0,DAY,3.82
2026-01-10 06: 27: 49,109.71,0,DAY,4.27
2026-01-10 06: 27: 49,109.78,0,DAY,4.15
2026-01-10 06: 27: 49,109.8,0,DAY,4.37
2026-01-10 06: 27: 49,109.92,0,DAY,4.92
2026-01-10 06: 27: 49,109.95,0,DAY,4.27
2026-01-10 06: 27: 50,109.97,0,DAY,4.62
2026-01-10 06: 27: 50,110.04,0,DAY,3.82
2026-01-10 06: 27: 50,110.13,0,DAY,4.61
2026-01-10 06: 27: 50,110.16,0,DAY,3.7
2026-01-10 06: 27: 51,110.24,0,DAY,3.31
2026-01-10 06: 27: 51,110.29,0,DAY,3.73
2026-01-10 06: 27: 51,110.36,0,DAY,4.34
2026-01-10 06: 27: 51,110.42,0,DAY,4.98
2026-01-10 06: 27: 52,110.46,0,DAY,3.31
2026-01-10 06: 27: 52,110.55,0,DAY,5.48
2026-01-10 06: 27: 52,110.62,0,DAY,3.14
2026-01-10 06: 27: 53,110.67,0,DAY,3.1
2026-01-10 06: 27: 53,110.75,0,DAY,4.87
2026-01-10 06: 27: 53,110.81,0,DAY,4.46
2026-01-10 06: 27: 53,110.82,227,DAY,3.14
2026-01-10 06: 27: 54,110.88,0,DAY,5.64
2026-01-10 06: 27: 54,110.93,0,DAY,4.54
2026-01-10 06: 27: 54,111.01,0,DAY,4.01
2026-01-10 06: 27: 54,111.05,0,DAY,3.84
2026-01-10 06: 27: 54,111.14,0,DAY,3.77
2026-01-10 06: 27: 55,111.19,0,DAY,2.99
2026-01-10 06: 27: 55,111.26,0,DAY,3.05
2026-01-10 06: 27: 55,111.33,0,DAY,5.43
2026-01-10 06: 27: 56,111.37,0,DAY,4.43
2026-01-10 06: 27: 56,111.42,0,DAY,3.89
2026-01-10 06: 27: 56,111.52,0,DAY,4.27
2026-01-10 06: 27: 56,111.58,0,DAY,3.15
2026-01-10 06: 27: 57,111.6,0,DAY,4.49
2026-01-10 06: 27: 57,111.7,0,DAY,4.71
2026-01-10 06: 27: 57,111.72,0,DAY,3.95
2026-01-10 06: 27: 57,111.78,0,DAY,3.89
2026-01-10 06: 27: 58,111.84,0,DAY,2.79
2026-01-10 06: 27: 58,111.96,0,DAY,4.64
2026-01-10 06: 27: 58,112.02,0,DAY,4.74
2026-01-10 06: 27: 58,112.03,0,DAY,4.16
2026-01-10 06: 27: 59,112.11,0,DAY,4.94
2026-01-10 06: 27: 59,112.16,0,DAY,8.36
2026-01-10 06: 27: 59,112.22,0,DAY,3.22
2026-01-10 06: 27: 59,112.26,0,DAY,8.95
2026-01-10 06: 27: 59,112.3,0,DAY,4.41
2026-01-10 06: 27: 59,112.34,0,DAY,6.82
2026-01-10 06: 28: 00,112.38,0,DAY,2.49
2026-01-10 06: 28: 00,112.47,0,DAY,2.59
2026-01-10 06: 28: 00,112.57,0,DAY,4.38
2026-01-10 06: 28: 01,112.64,0,DAY,4.18
2026-01-10 06: 28: 01,112.69,0,DAY,4.11
2026-01-10 06: 28: 02,112.74,0,DAY,1.67
2026-01-10 06: 28: 02,112.89,0,DAY,4.6
2026-01-10 06: 28: 02,112.9,0,DAY,4.9
2026-01-10 06: 28: 02,112.95,0,DAY,6.4
2026-01-10 06: 28: 02,113.02,0,DAY,4.85
2026-01-10 06: 28: 03,113.07,0,DAY,2.83
2026-01-10 06: 28: 03,113.14,0,DAY,5.38
2026-01-10 06: 28: 03,113.18,0,DAY,4.56
2026-01-10 06: 28: 03,113.23,0,DAY,5.1
2026-01-10 06: 28: 03,113.29,0,DAY,5.49
2026-01-10 06: 28: 04,113.36,0,DAY,4.25
2026-01-10 06: 28: 04,113.39,0,DAY,4.02
2026-01-10 06: 28: 04,113.46,0,DAY,4.15
2026-01-10 06: 28: 04,113.52,0,DAY,5.23
2026-01-10 06: 28: 05,113.56,0,DAY,4.8
2026-01-10 06: 28: 05,113.59,0,DAY,4.31
2026-01-10 06: 28: 05,113.67,0,DAY,4.48
2026-01-10 06: 28: 05,113.73,0,DAY,5.37
2026-01-10 06: 28: 05,113.78,0,DAY,4.87
2026-01-10 06: 28: 06,113.79,0,DAY,6.84
2026-01-10 06: 28: 06,113.87,0,DAY,3.58
2026-01-10 06: 28: 06,113.91,0,DAY,3.68
2026-01-10 06: 28: 07,113.98,0,DAY,2.55
2026-01-10 06: 28: 07,114.08,0,DAY,4.36
2026-01-10 06: 28: 07,114.12,0,DAY,4.73
2026-01-10 06: 28: 07,114.19,0,DAY,3.75
2026-01-10 06: 28: 07,114.24,0,DAY,5.23
2026-01-10 06: 28: 08,114.3,0,DAY,4.54
2026-01-10 06: 28: 08,114.34,0,DAY,4.84
2026-01-10 06: 28: 08,114.4,0,DAY,4.27
2026-01-10 06: 28: 08,114.44,0,DAY,5.17
2026-01-10 06: 28: 09,114.51,0,DAY,4.56
2026-01-10 06: 28: 09,114.54,0,DAY,4.33
2026-01-10 06: 28: 09,114.63,0,DAY,4.68
2026-01-10 06: 28: 09,114.65,0,DAY,4.46
2026-01-10 06: 28: 09,114.69,0,DAY,4.09
2026-01-10 06: 28: 10,114.76,0,DAY,3.99
2026-01-10 06: 28: 10,114.84,0,DAY,4.94
2026-01-10 06: 28: 10,114.88,0,DAY,5.4
2026-01-10 06: 28: 10,114.95,0,DAY,3.3
2026-01-10 06: 28: 11,115.03,0,DAY,5.65
2026-01-10 06: 28: 11,115.02,0,DAY,3.15
2026-01-10 06: 28: 11,115.15,0,DAY,2.15
2026-01-10 06: 28: 12,115.24,0,DAY,5.26
2026-01-10 06: 28: 12,115.29,0,DAY,5.07
2026-01-10 06: 28: 12,115.36,0,DAY,6.93
2026-01-10 06: 28: 12,115.39,0,DAY,3.7
2026-01-10 06: 28: 12,115.44,0,DAY,7.34
2026-01-10 06: 28: 12,115.46,0,DAY,5.31
2026-01-10 06: 28: 13,115.53,0,DAY,4.99
2026-01-10 06: 28: 13,115.56,0,DAY,4.46
2026-01-10 06: 28: 13,115.61,0,DAY,4.64
2026-01-10 06: 28: 13,113.9,0,DAY,3.64
2026-01-10 06: 28: 14,112.13,0,DAY,3.19
2026-01-10 06: 28: 14,112.2,0,DAY,5.0
2026-01-10 06: 28: 14,112.25,0,DAY,7.83
2026-01-10 06: 28: 14,112.28,0,DAY,4.9
2026-01-10 06: 28: 14,112.32,0,DAY,5.23
2026-01-10 06: 28: 15,112.38,0,DAY,4.39
2026-01-10 06: 28: 15,112.43,0,DAY,2.65
2026-01-10 06: 28: 15,112.52,0,DAY,4.61
2026-01-10 06: 28: 15,112.55,0,DAY,4.56
