"timesstamp,brightness,motion_pixels,mode,fps"
2026-01-10 06: 25: 05,97.59,19213,DAY,6.88
2026-01-10 06: 25: 06,100.02,23444,DAY,6.3
2026-01-10 06: 25: 06,100.86,9184,DAY,4.97
2026-01-10 06: 25: 06,102.02,12687,DAY,8.68
2026-01-10 06: 25: 06,102.93,10871,DAY,5.39
2026-01-10 06: 25: 06,103.58,13522,DAY,7.51
2026-01-10 06: 25: 06,105.29,15434,DAY,6.91
2026-01-10 06: 25: 07,107.46,13017,DAY,4.6
2026-01-10 06: 25: 07,110.14,11331,DAY,3.35
2026-01-10 06: 25: 07,110.75,1802,DAY,4.47
2026-01-10 06: 25: 07,110.1,3698,DAY,4.27
2026-01-10 06: 25: 08,109.6,2414,DAY,5.23
2026-01-10 06: 25: 08,108.5,4402,DAY,4.99
2026-01-10 06: 25: 08,107.59,4936,DAY,5.81
2026-01-10 06: 25: 08,106.7,5543,DAY,5.17
2026-01-10 06: 25: 08,96.41,26695,DAY,5.37
2026-01-10 06: 25: 09,91.94,28338,DAY,4.9
2026-01-10 06: 25: 09,84.84,37742,DAY,5.67
2026-01-10 06: 25: 09,80.83,48203,DAY,10.14
2026-01-10 06: 25: 09,76.53,39354,DAY,5.7
2026-01-10 06: 25: 09,75.92,48220,DAY,4.84
2026-01-10 06: 25: 09,88.76,54627,DAY,5.14
2026-01-10 06: 25: 10,74.42,45738,DAY,7.29
2026-01-10 06: 25: 10,74.26,43380,DAY,4.87
2026-01-10 06: 25: 10,81.59,41218,DAY,7.11
2026-01-10 06: 25: 10,86.65,22089,DAY,8.79
2026-01-10 06: 25: 11,86.65,0,DAY,1.39
2026-01-10 06: 25: 11,89.36,17984,DAY,1.5
2026-01-10 06: 25: 14,89.27,23758,DAY,0.42
2026-01-10 06: 25: 14,85.98,8875,DAY,2.87
2026-01-10 06: 25: 14,94.72,21572,DAY,6.26
2026-01-10 06: 25: 14,100.18,5860,DAY,6.48
2026-01-10 06: 25: 15,100.23,1074,DAY,3.49
2026-01-10 06: 25: 15,100.18,4451,DAY,6.59
2026-01-10 06: 25: 15,100.36,4107,DAY,6.57
